LoanID,CustomerID,BranchID,LoanType,PrincipalAmount,InterestRate,TermMonths,StartDate,Status
221,1784,990,Auto,76450.58,5.8,12,2022-05-06,Active
222,5527,674,Auto,173429.47,4.77,48,2023-04-21,Active
223,4641,559,Personal,20609.22,8.51,48,2024-02-24,Active
224,5823,106,Auto,214431.37,8.87,360,2021-07-05,Active
225,5519,990,Student,220653.09,11.48,60,2022-11-28,Paid
226,1792,328,Personal,428815.88,5.42,12,2023-01-10,Active
227,3714,765,Personal,302507.76,9.16,24,2023-09-21,Paid
228,6068,532,Personal,459307.2,3.82,12,2024-09-24,Defaulted
229,7254,792,Personal,108643.95,10.01,48,2021-06-01,Active
230,9367,658,Mortgage,236186.79,10.9,120,2025-05-03,Active
231,5637,194,Student,397841.63,7.42,12,2023-12-16,Active
232,816,881,Student,432913.11,11.05,48,2024-11-05,Active
233,2571,792,Personal,8291.58,5.34,60,2025-08-10,Active
234,2474,928,Student,289097.45,6.3,120,2025-01-23,Active
235,5613,125,Personal,6350.0,9.35,60,2024-01-31,Active
236,5964,189,Student,138124.1,12.2,36,2025-02-07,Active
237,471,877,Auto,371932.14,11.06,60,2023-11-16,Active
238,165,338,Student,472706.99,5.83,360,2023-10-29,Active
239,7650,130,Auto,137323.18,8.74,360,2024-12-13,Active
240,9754,854,Student,364858.6,8.15,120,2023-12-29,Active
241,9547,658,Auto,194372.25,12.17,12,2023-11-26,Active
242,4325,350,Auto,37893.47,10.07,12,2023-06-18,Active
243,8922,195,Auto,173040.71,7.16,360,2025-11-23,Active
244,1635,323,Personal,358080.43,9.32,120,2022-07-10,Active
245,2906,204,Student,97801.99,12.42,360,2022-04-15,Active
246,8228,303,Auto,289307.82,9.34,60,2025-09-10,Paid
247,9969,854,Auto,132184.46,6.48,120,2025-06-19,Active
248,9255,532,Personal,159936.1,12.43,360,2023-03-01,Active
249,8301,323,Student,264665.79,7.81,12,2026-01-20,Active
250,2376,818,Auto,32254.74,7.95,120,2022-10-25,Paid
251,4753,859,Mortgage,391134.23,7.87,120,2022-03-18,Active
252,6513,214,Student,485907.58,7.41,12,2022-05-23,Active
253,4569,754,Student,270229.62,9.62,60,2024-02-13,Active
254,2769,381,Mortgage,328952.38,5.96,120,2024-01-31,Active
255,8030,214,Mortgage,36597.42,3.6,60,2025-08-25,Active
256,3038,467,Personal,319458.42,11.51,48,2025-12-06,Active
257,7112,381,Mortgage,447196.74,11.14,360,2025-06-23,Active
258,8481,559,Auto,167635.64,3.76,120,2025-04-26,Active
259,3451,877,Auto,439821.18,3.52,60,2023-09-09,Paid
260,7832,194,Auto,355002.84,9.44,36,2021-08-26,Active
261,3288,467,Personal,348103.84,9.07,24,2024-04-19,Active
262,6776,350,Mortgage,444333.78,5.62,360,2021-10-21,Active
263,6713,199,Personal,85520.44,11.07,36,2023-03-02,Active
264,3548,325,Mortgage,353701.69,7.1,36,2021-11-12,Active
265,2066,106,Personal,147920.91,7.03,12,2024-03-16,Active
266,7657,194,Student,61738.69,6.68,12,2021-11-15,Active
267,8042,617,Auto,441119.13,10.39,36,2023-01-30,Paid
268,6986,381,Auto,179178.18,6.47,36,2023-12-14,Active
269,7941,704,Auto,494752.46,8.37,12,2024-07-15,Active
270,1247,854,Auto,98016.12,5.56,60,2024-06-27,Active
271,7780,242,Mortgage,90437.56,6.94,24,2021-10-08,Paid
272,7722,328,Student,5263.0,11.29,360,2025-12-13,Active
273,6086,489,Auto,232261.58,12.25,60,2024-11-05,Active
274,2172,194,Student,282377.38,10.37,12,2024-01-23,Active
275,7704,127,Mortgage,304078.07,12.2,48,2024-11-13,Active
276,3816,814,Personal,216569.62,11.67,36,2026-02-05,Paid
277,6323,189,Personal,247406.22,6.55,24,2024-12-16,Active
278,5247,529,Mortgage,95380.21,5.33,36,2023-03-05,Active
279,909,448,Auto,414789.33,11.17,48,2025-12-13,Active
280,3243,858,Personal,177239.37,11.59,60,2025-06-25,Active
281,9392,754,Auto,80350.71,10.79,48,2023-07-30,Active
282,9362,132,Mortgage,94615.88,4.84,24,2023-10-21,Paid
283,728,792,Mortgage,194421.16,4.83,48,2025-05-22,Active
284,6604,467,Auto,102707.47,10.25,48,2025-06-30,Active
285,7784,214,Auto,37465.06,7.6,12,2021-12-22,Active
286,1273,703,Mortgage,469465.29,5.81,36,2023-04-03,Active
287,6224,559,Mortgage,213533.56,12.08,60,2023-12-06,Defaulted
288,6574,792,Auto,118220.2,11.37,36,2022-01-18,Active
289,7944,381,Mortgage,295283.05,4.7,120,2022-09-19,Active
290,4754,925,Auto,113485.6,9.29,120,2024-03-13,Paid
291,9452,242,Mortgage,161516.67,5.45,360,2023-05-04,Active
292,9888,990,Mortgage,441766.02,3.92,60,2025-09-21,Active
293,8729,259,Personal,234147.37,12.44,60,2023-06-06,Active
294,2652,130,Mortgage,209930.42,3.7,12,2023-07-22,Active
295,4176,325,Personal,253838.8,6.89,60,2022-01-20,Active
296,4217,320,Student,334578.71,6.93,36,2021-07-12,Active
297,7784,106,Personal,375102.2,6.88,120,2024-12-01,Active
298,1227,323,Auto,325607.21,11.55,24,2024-06-12,Active
299,2003,204,Personal,230797.76,12.43,36,2025-03-19,Active
300,744,925,Student,26268.47,7.82,12,2022-06-18,Active
301,6283,204,Mortgage,464295.94,4.22,24,2025-02-06,Active
302,2327,323,Auto,341700.97,9.75,120,2024-11-23,Active
303,7825,716,Student,30454.69,7.14,12,2024-07-25,Active
304,7328,833,Student,199285.22,8.38,12,2024-06-06,Active
305,3463,854,Personal,490003.79,9.0,12,2024-11-24,Active
306,6599,338,Mortgage,359675.69,7.34,360,2022-08-24,Active
307,9477,263,Personal,235525.7,8.64,60,2021-09-03,Active
308,7454,444,Auto,316331.3,11.6,360,2024-11-21,Active
309,1242,320,Mortgage,115501.18,11.23,36,2025-07-21,Defaulted
310,7355,130,Personal,396912.94,7.53,60,2021-09-24,Active
311,7826,384,Mortgage,479189.85,4.74,24,2023-04-28,Active
312,5644,242,Personal,37549.42,10.29,12,2023-04-18,Active
313,525,814,Student,465708.68,5.37,360,2023-02-17,Active
314,8509,194,Student,365539.74,10.1,48,2024-07-04,Active
315,5269,617,Student,312159.25,5.5,36,2025-01-21,Active
316,3834,658,Auto,326761.25,11.93,360,2025-06-15,Active
317,7309,928,Auto,98207.72,7.6,12,2025-03-04,Active
318,5014,214,Auto,276967.66,5.09,360,2023-06-28,Active
319,3571,323,Student,353527.52,11.08,120,2023-12-17,Active
320,3712,320,Mortgage,311391.67,7.17,48,2022-02-13,Active
321,270,467,Student,343215.01,11.75,120,2021-08-05,Paid
322,2149,818,Auto,245959.44,11.79,36,2026-01-23,Active
323,4533,350,Mortgage,211460.28,10.7,60,2023-06-15,Active
324,3442,195,Personal,126563.88,5.3,60,2023-01-14,Active
325,6901,204,Personal,244681.55,11.27,120,2026-04-16,Paid
326,6573,881,Personal,363186.71,9.67,24,2025-04-20,Active
327,2584,925,Student,111910.63,5.68,12,2022-05-08,Paid
328,1970,704,Auto,339431.25,6.22,24,2022-04-06,Active
329,9300,716,Personal,84312.33,10.74,360,2025-09-24,Active
330,3618,814,Auto,200399.25,8.62,12,2022-11-22,Active
331,2896,130,Mortgage,258293.46,7.19,36,2021-10-11,Paid
332,5883,559,Auto,172926.35,7.83,24,2021-06-01,Active
333,453,529,Personal,242713.72,6.42,48,2023-03-01,Active
334,9398,703,Auto,163674.61,9.68,12,2023-08-27,Active
335,7922,658,Personal,123938.8,8.27,48,2021-08-11,Active
336,5903,529,Student,361897.27,9.2,48,2023-05-26,Paid
337,6672,259,Student,404512.53,4.51,60,2024-02-29,Active
338,1186,127,Mortgage,340709.75,11.03,36,2025-08-29,Paid
339,4050,716,Mortgage,181362.17,8.07,360,2022-11-14,Active
340,1719,328,Personal,318938.51,5.48,48,2025-05-16,Active
341,8459,195,Personal,457890.84,7.21,48,2022-04-11,Paid
342,7671,854,Auto,406194.12,9.27,48,2025-06-10,Active
343,3347,928,Student,138461.63,10.65,120,2022-12-30,Paid
344,6398,858,Personal,248076.61,9.49,12,2022-06-18,Active
345,9518,199,Auto,320834.91,12.19,24,2021-10-05,Active
346,1628,323,Personal,310880.94,8.84,120,2023-02-09,Active
347,9707,303,Mortgage,304232.69,5.99,12,2021-12-27,Active
348,4758,328,Personal,66658.36,7.29,120,2021-05-27,Active
349,6373,881,Auto,25227.4,3.77,48,2025-01-11,Active
350,5045,323,Mortgage,174636.2,3.7,360,2024-09-09,Active
351,8105,792,Auto,60638.78,10.07,48,2024-08-31,Paid
352,7102,617,Personal,393217.65,4.68,48,2023-09-15,Active
353,6615,617,Mortgage,259217.97,9.62,120,2025-01-06,Active
354,6516,990,Personal,392534.57,6.68,48,2024-05-15,Active
355,6074,674,Auto,229849.03,11.51,360,2022-02-17,Active
356,5966,106,Auto,495131.92,7.69,48,2025-07-30,Active
357,9662,754,Student,68848.35,6.38,60,2023-07-31,Active
358,5415,384,Auto,405281.49,6.5,60,2025-05-08,Paid
359,3380,125,Student,47695.67,10.69,36,2025-08-21,Active
360,2337,529,Student,115896.94,4.34,36,2025-08-19,Active
361,9051,320,Student,88386.07,11.35,60,2025-07-20,Active
362,2904,877,Mortgage,470226.11,7.68,48,2025-04-13,Paid
363,8833,467,Mortgage,469300.39,11.54,360,2025-10-14,Active
364,4041,325,Personal,467671.55,6.37,48,2025-12-25,Active
365,1769,467,Mortgage,422087.63,6.67,24,2025-08-31,Active
366,1834,859,Mortgage,410784.17,11.68,360,2023-11-26,Active
367,1185,242,Auto,61247.19,5.47,24,2024-04-14,Active
368,7728,381,Mortgage,383314.77,7.25,48,2025-07-27,Active
369,946,132,Auto,118415.32,12.39,24,2025-06-29,Active
370,6156,532,Auto,9510.46,8.65,120,2024-05-02,Active
371,6006,674,Auto,208157.65,3.66,24,2025-04-08,Active
372,5458,350,Personal,369388.49,11.5,48,2026-04-03,Paid
373,8388,859,Student,430231.29,9.04,24,2025-05-15,Active
374,6306,990,Student,179298.89,10.24,12,2022-01-14,Active
375,5753,259,Personal,344880.59,11.29,60,2022-02-25,Active
376,618,833,Auto,365187.25,4.95,36,2023-10-19,Active
377,8628,854,Personal,254355.86,9.68,360,2022-01-18,Paid
378,6088,444,Mortgage,21508.02,12.38,24,2025-03-17,Active
379,4359,106,Student,246330.4,7.18,360,2023-10-23,Active
380,5432,854,Personal,167429.46,7.61,60,2024-11-08,Active
381,211,703,Personal,440241.82,11.93,48,2021-11-18,Active
382,1803,529,Student,331187.55,7.88,12,2021-10-09,Active
383,1650,990,Mortgage,106508.96,11.75,48,2024-07-03,Active
384,2375,990,Personal,171459.99,11.74,48,2022-10-25,Paid
385,5938,617,Auto,94368.45,11.72,60,2023-03-24,Active
386,3101,818,Student,40703.66,8.45,48,2026-03-03,Paid
387,4882,127,Personal,438563.25,6.54,60,2024-04-28,Active
388,7594,444,Personal,207114.81,8.66,12,2022-02-17,Active
389,2594,444,Student,108467.09,8.21,24,2021-06-27,Defaulted
390,5696,716,Personal,51683.76,8.96,120,2025-11-23,Active
391,7205,859,Mortgage,244951.77,8.32,120,2023-01-18,Active
392,1516,125,Mortgage,247302.76,10.74,12,2022-06-10,Active
393,4074,559,Mortgage,11098.52,9.49,24,2025-07-04,Paid
394,7347,928,Student,459404.05,10.94,360,2025-09-15,Active
395,4716,559,Student,347364.38,9.3,48,2024-09-10,Active
396,6463,818,Student,410192.78,12.28,24,2024-08-25,Active
397,1897,833,Student,340933.99,8.78,48,2025-09-26,Active
398,7720,328,Student,240249.89,4.45,36,2024-12-06,Active
399,8740,703,Auto,396039.07,3.91,48,2025-12-02,Active
400,9680,674,Mortgage,276262.31,6.44,36,2026-03-03,Paid
401,9811,532,Personal,284235.38,4.92,48,2025-10-11,Active
402,8696,338,Mortgage,238715.47,11.69,60,2023-11-17,Active
403,3631,833,Auto,178625.19,5.19,48,2022-07-21,Active
404,3323,328,Mortgage,248282.24,7.04,60,2021-06-18,Active
405,5682,833,Auto,394057.9,10.83,36,2021-06-27,Active
406,9365,320,Personal,108139.4,5.81,120,2023-04-05,Active
407,7432,125,Auto,352868.78,5.35,48,2022-11-26,Active
408,6477,381,Mortgage,351202.08,11.95,48,2024-08-02,Paid
409,1336,925,Mortgage,164161.03,5.2,24,2024-02-16,Active
410,1920,125,Auto,90385.97,8.82,12,2021-10-28,Active
411,9297,323,Mortgage,121889.47,11.25,60,2023-04-03,Active
412,8956,859,Mortgage,102128.48,4.1,12,2021-09-25,Active
413,9072,350,Personal,215175.42,4.9,12,2024-01-03,Active
414,6015,328,Student,445676.51,12.01,60,2022-07-02,Active
415,4927,106,Personal,380519.93,7.13,48,2023-07-15,Active
416,8762,854,Student,139090.19,8.97,36,2022-02-09,Paid
417,7299,833,Auto,318405.36,4.71,48,2022-02-18,Paid
418,6587,858,Mortgage,345694.59,8.34,360,2023-08-18,Active
419,1928,489,Mortgage,366975.08,10.99,48,2022-09-29,Active
420,8807,858,Personal,364164.65,6.58,120,2021-08-24,Active
421,7556,325,Personal,88381.25,7.07,48,2025-01-29,Active
422,9610,106,Student,163942.86,8.04,360,2024-10-09,Active
423,3367,716,Student,128123.63,11.53,120,2024-06-28,Active
424,6114,792,Auto,377018.65,8.46,48,2022-02-13,Active
425,1528,818,Personal,298005.86,8.96,120,2023-03-17,Active
426,5531,559,Mortgage,444919.69,12.39,360,2023-02-24,Active
427,1590,303,Personal,232181.85,12.41,48,2024-03-06,Paid
428,5583,814,Student,94400.55,11.45,12,2022-10-28,Paid
